x;y
0.010526315789473495; 0
0.09473684210526301; 0
0.17894736842105252; 0
0.24210526315789482; 0
0.3894736842105262; 0
0.5157894736842104; 0
0.5789473684210524; 0
0.6421052631578945; 0.08547008547008517
0.7368421052631575; 0.1923076923076934
0.8631578947368417; 0.8333333333333357
0.9894736842105263; 1.9017094017094038
1.094736842105263; 3.1837606837606813
1.1999999999999997; 4.893162393162399
1.2947368421052632; 6.602564102564102
1.4210526315789473; 9.059829059829063
1.568421052631579; 12.158119658119663
1.7052631578947368; 15.256410256410259
1.7789473684210528; 16.96581196581197
1.8631578947368421; 18.888888888888893
1.9894736842105263; 21.132478632478634
2.094736842105263; 23.055555555555557
2.221052631578947; 24.871794871794876
2.336842105263158; 26.260683760683765
2.431578947368421; 27.11538461538462
2.578947368421052; 28.07692307692308
2.757894736842105; 28.611111111111114
2.8947368421052633; 28.504273504273506
3.0105263157894737; 28.18376068376069
3.126315789473684; 27.542735042735046
3.2421052631578946; 26.901709401709404
3.357894736842105; 26.047008547008552
3.505263157894737; 24.871794871794876
3.642105263157895; 23.910256410256416
3.7578947368421054; 22.948717948717952
3.884210526315789; 21.773504273504276
4.010526315789473; 20.5982905982906
4.147368421052631; 19.423076923076927
4.2631578947368425; 18.35470085470086
4.389473684210525; 17.286324786324787
4.505263157894737; 16.217948717948723
4.663157894736843; 14.82905982905983
4.800000000000001; 13.760683760683762
4.968421052631578; 12.47863247863248
5.126315789473685; 11.410256410256412
5.326315789473684; 10.128205128205131
5.505263157894737; 9.059829059829063
5.663157894736843; 8.205128205128204
5.863157894736842; 7.2435897435897445
6.0736842105263165; 6.282051282051285
6.221052631578948; 5.641025641025642
6.431578947368422; 4.893162393162399
6.589473684210526; 4.358974358974358
6.7368421052631575; 3.931623931623932
6.936842105263159; 3.397435897435898
7.136842105263158; 2.970085470085472
7.378947368421052; 2.542735042735039
7.589473684210526; 2.2222222222222214
7.789473684210526; 1.9017094017094038
8; 1.6880341880341874
8.23157894736842; 1.3675213675213698
8.442105263157895; 1.2606837606837615
8.673684210526316; 0.9401709401709368
9.063157894736841; 0.7264957264957275
9.25263157894737; 0.6196581196581192
9.442105263157895; 0.5128205128205181
9.747368421052633; 0.40598290598290276
10; 0.40598290598290276

