x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.0000835718
0.6;0.000394708
0.7;0.00128874
0.8;0.00326382
0.9;0.00688092
1;0.0126459
1.1;0.0209091
1.2;0.0318075
1.3;0.0452539
1.4;0.0609624
1.5;0.0784958
1.6;0.0973226
1.7;0.11687
1.8;0.136571
1.9;0.1559
2;0.174395
2.2;0.20743
2.4;0.233602
2.6;0.252041
2.8;0.262816
2.9;0.26553
3;0.266618
3.2;0.264481
3.4;0.25757
3.6;0.247039
3.8;0.233941
4;0.219184
4.2;0.20352
4.4;0.187544
4.6;0.171712
4.8;0.156357
5;0.141713
5.5;0.109057
6;0.0825327
6.5;0.0617754
7;0.0459162
7.5;0.0339876
8;0.0251061
8.5;0.0185354
9;0.0136921
9.5;0.0101284
10;0.00750718
10.5;0.00557794
11;0.00415598
