x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.0000143141
0.6;0.0000788871
0.7;0.00029347
0.8;0.000832173
0.9;0.00193835
1;0.00389466
1.1;0.00698059
1.2;0.0114307
1.3;0.0174031
1.4;0.0249617
1.5;0.034074
1.6;0.0446185
1.7;0.0564017
1.8;0.0691768
1.9;0.0826654
2;0.0965755
2.2;0.124521
2.4;0.150951
2.6;0.174283
2.8;0.1935
2.9;0.201391
3;0.208104
3.2;0.218027
3.4;0.223511
3.6;0.225
3.8;0.223048
4;0.218252
4.2;0.211199
4.4;0.202437
4.6;0.192454
4.8;0.181673
5;0.170447
5.5;0.142191
6;0.115833
6.5;0.0927782
7;0.0734242
7.5;0.0576179
8;0.0449513
8.5;0.0349342
9;0.0270851
9.5;0.0209738
10;0.0162357
10.5;0.012572
11;0.0097433
