x;y
0;0
0.1;0
0.2;0.000551279
0.3;0.0113548
0.5;0.159822
0.6;0.299725
0.7;0.448187
0.8;0.577078
0.9;0.669909
1;0.721958
1.1;0.73655
1.2;0.721042
1.3;0.683884
1.4;0.632908
1.5;0.574556
1.6;0.513695
1.7;0.453746
1.8;0.39693
1.9;0.344544
2;0.297221
2.2;0.218134
2.4;0.158085
2.6;0.113706
2.8;0.0814546
2.9;0.0688923
3;0.0582585
3.2;0.0416745
3.4;0.0298531
3.6;0.0214341
3.8;0.0154344
4;0.0111517
4.2;0.00808711
4.4;0.00588761
4.6;0.00430364
4.8;0.00315876
5;0.00232807
5.5;0.00110546
6;0.000538369
6.5;0.000268637
7;0.000137173
7.5;0.0000715862
8;0.0000381325
8.5;0.0000207078
9;0.0000114511
9.5;0
10;0
10.5;0
11;0
