x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.000917299
0.6;0.00343044
0.7;0.00919443
0.8;0.0196263
0.9;0.0355849
1;0.0571459
1.1;0.0836323
1.2;0.113812
1.3;0.146153
1.4;0.179063
1.5;0.211071
1.6;0.24094
1.7;0.267725
1.8;0.290779
1.9;0.309733
2;0.324454
2.2;0.341583
2.4;0.344127
2.6;0.335125
2.8;0.31782
2.9;0.306994
3;0.295159
3.2;0.269572
3.4;0.242922
3.6;0.216548
3.8;0.191351
4;0.167886
4.2;0.146448
4.4;0.127148
4.6;0.109974
4.8;0.0948295
5;0.0815714
5.5;0.0555629
6;0.0376163
6.5;0.0254132
7;0.0171792
7.5;0.0116411
8;0.00791714
8.5;0.00540854
9;0.00371335
9.5;0.00256314
10;0.00177905
10.5;0.00124182
11;0.000871745
