x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.00253549
0.6;0.00849266
0.7;0.0207375
0.8;0.0408337
0.9;0.0689494
1;0.103895
1.1;0.143537
1.2;0.185327
1.3;0.226751
1.4;0.265641
1.5;0.300336
1.6;0.329722
1.7;0.353195
1.8;0.370583
1.9;0.382047
2;0.387988
2.2;0.385606
2.4;0.368576
2.6;0.341983
2.8;0.310118
2.9;0.293267
3;0.276243
3.2;0.242644
3.4;0.210789
3.6;0.181524
3.8;0.155245
4;0.132049
4.2;0.11184
4.4;0.0944095
4.6;0.0794927
4.8;0.0668049
5;0.0560645
5.5;0.036051
6;0.0231563
6.5;0.0149053
7;0.00963457
7.5;0.00626202
8;0.00409588
8.5;0.00269741
9;0.00178907
9.5;0.00119521
10;0.000804258
10.5;0.000545076
11;0.000372031
