x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0
0.6;0.0000501224
0.7;0.000193063
0.8;0.000564204
0.9;0.00134958
1;0.00277691
1.1;0.00508542
1.2;0.00849253
1.3;0.0131654
1.4;0.019202
1.5;0.026623
1.6;0.0353733
1.7;0.0453308
1.8;0.0563202
1.9;0.0681282
2;0.0805188
2.2;0.106076
2.4;0.13114
2.6;0.15417
2.8;0.174056
2.9;0.182595
3;0.19013
3.2;0.202119
3.4;0.210057
3.6;0.214202
3.8;0.21495
4;0.212777
4.2;0.208181
4.4;0.20165
4.6;0.193639
4.8;0.184556
5;0.174755
5.5;0.148954
6;0.123748
6.5;0.100925
7;0.0812188
7.5;0.0647346
8;0.0512445
8.5;0.0403736
9;0.0317088
9.5;0.0248557
10;0.0194647
10.5;0.0152392
11;0.011935
