x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.0000439543
0.6;0.00021992
0.7;0.000753929
0.8;0.00199176
0.9;0.0043585
1;0.00828161
1.1;0.0141122
1.2;0.0220669
1.3;0.0322006
1.4;0.0444069
1.5;0.0584405
1.6;0.0739515
1.7;0.0905243
1.8;0.107714
1.9;0.12508
2;0.142207
2.2;0.174323
2.4;0.201796
2.6;0.223307
2.8;0.238377
2.9;0.243526
3;0.247161
3.2;0.250237
3.4;0.248417
3.6;0.242607
3.8;0.233707
4;0.222547
4.2;0.209856
4.4;0.19625
4.6;0.182227
4.8;0.168181
5;0.154411
5.5;0.122466
6;0.0952665
6.5;0.0731351
7;0.0556489
7.5;0.0421007
8;0.0317406
8.5;0.0238872
9;0.0179674
9.5;0.0135202
10;0.0101851
10.5;0.00768541
11;0.00581109
