x;y
0;0
0.1;0
0.2;0
0.3;0.000168829
0.5;0.00819099
0.6;0.0238912
0.7;0.0518983
0.8;0.0923451
0.9;0.142598
1;0.198361
1.1;0.25493
1.2;0.308121
1.3;0.354777
1.4;0.392899
1.5;0.421559
1.6;0.440688
1.7;0.450839
1.8;0.452957
1.9;0.448199
2;0.437795
2.2;0.404752
2.4;0.362159
2.6;0.316228
2.8;0.271083
2.9;0.249618
3;0.229156
3.2;0.191665
3.4;0.159017
3.6;0.131127
3.8;0.107637
4;0.0880598
4.2;0.0718723
4.4;0.0585666
4.6;0.0476775
4.8;0.0387945
5;0.0315644
5.5;0.0188808
6;0.0113527
6.5;0.00687693
7;0.00420209
7.5;0.00259186
8;0.00161428
8.5;0.00101531
9;0.000644832
9.5;0.000413471
10;0.000267605
10.5;0.000174774
11;0.000115152
