x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.0000244796
0.6;0.000128893
0.7;0.000461354
0.8;0.00126524
0.9;0.00286149
1;0.00559986
1.1;0.00980035
1.2;0.0157024
1.3;0.0234326
1.4;0.0329925
1.5;0.0442655
1.6;0.0570353
1.7;0.0710119
1.8;0.0858595
1.9;0.101222
2;0.116746
2.2;0.146981
2.4;0.17434
2.6;0.197296
2.8;0.215025
2.9;0.221838
3;0.227296
3.2;0.234319
3.4;0.236596
3.6;0.234789
3.8;0.229625
4;0.221822
4.2;0.212048
4.4;0.200898
4.6;0.188879
4.8;0.176409
5;0.163827
5.5;0.133447
6;0.106368
6.5;0.0835078
7;0.0648734
7.5;0.0500364
8;0.0384112
8.5;0.029402
9;0.0224722
9.5;0.0171678
10;0.01312
10.5;0.0100361
11;0.00768796
