x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0
0.6;0.0000329014
0.7;0.0001308
0.8;0.00039286
0.9;0.000962699
1;0.00202412
1.1;0.00377997
1.2;0.0064261
1.3;0.0101268
1.4;0.0149963
1.5;0.0210882
1.6;0.0283926
1.7;0.0368402
1.8;0.0463109
1.9;0.0566448
2;0.0676548
2.2;0.0908877
2.4;0.114386
2.6;0.1367
2.8;0.156695
2.9;0.165569
3;0.173605
3.2;0.18701
3.4;0.196786
3.6;0.203034
3.8;0.206015
4;0.206089
4.2;0.203665
4.4;0.199166
4.6;0.193005
4.8;0.185564
5;0.177186
5.5;0.154007
6;0.13025
6.5;0.107985
7;0.0882311
7.5;0.0713257
8;0.0572142
8.5;0.0456408
9;0.0362682
9.5;0.0287466
10;0.0227497
10.5;0.0179902
11;0.0142246
