x;y
0;0
0.1;0
0.2;0
0.3;0
0.5;0.000375714
0.6;0.00153858
0.7;0.00445275
0.8;0.0101582
0.9;0.0195305
1;0.0330534
1.1;0.0507241
1.2;0.0720846
1.3;0.0963321
1.4;0.12246
1.5;0.149395
1.6;0.176105
1.7;0.201679
1.8;0.22537
1.9;0.24661
2;0.265013
2.2;0.292564
2.4;0.307793
2.6;0.311928
2.8;0.30694
2.9;0.30171
3;0.295017
3.2;0.278241
3.4;0.258418
3.6;0.237012
3.8;0.215149
4;0.193648
4.2;0.173074
4.4;0.153787
4.6;0.135991
4.8;0.119775
5;0.105145
5.5;0.075101
6;0.0530949
6.5;0.0373288
7;0.0261825
7.5;0.0183621
8;0.0128959
8.5;0.00907974
9;0.00641385
9.5;0.00454796
10;0.00323835
10.5;0.00231602
11;0.00166393
