;0
0.5°C;0.008754975676185023
1°C;0.09966153332831297
1.5°C;0.20588552891149062
2°C;0.21656915600559998
2.5°C;0.16952180164727268
3°C;0.11515692661326107
3.5°C;0.07284764565189228
4°C;0.044471596475738145
4.5°C;0.026710625541394434
5°C;0.015957761259098407
5.5°C;0.009544857552066894
6°C;0.005738247238393846
6.5°C;0.003474930077607488
7°C;0.0021226142951760547
7.5°C;0.0013087520696882214
8°C;0.0008148191650709987
8.5°C;0.0005122935706777406
9°C;0.00032524221539301316
9.5°C;0.0002084753716751941
10°C;0.00013487781505619974
