;0
0.5°C;4.078537023893604e-05
1°C;0.002530821556823607
1.5°C;0.017774962623701658
2°C;0.04835866041768673
2.5°C;0.08106058372926231
3°C;0.10344164449743454
3.5°C;0.11187518527831485
4°C;0.1088319330838443
4.5°C;0.09865472099503562
5°C;0.08520443027765999
5.5°C;0.07113874944839424
6°C;0.057987446648614695
6.5°C;0.046467409807146046
7°C;0.036786574975300274
7.5°C;0.028874562969152494
8°C;0.022530856403089133
8.5°C;0.017512181945990368
9°C;0.01357863403544897
9.5°C;0.010515394012213549
10°C;0.008140092120696557
