;0
0.5°C;2.5107110447626283e-05
1°C;0.001845183326548364
1.5°C;0.013996433187384966
2°C;0.04043633480982442
2.5°C;0.07114920481117458
3°C;0.09453236047830982
3.5°C;0.10582033162925397
4°C;0.10607276500635092
4.5°C;0.09873604714927739
5°C;0.08732410349917455
5.5°C;0.07449296409820033
6°C;0.061925897784215984
6.5°C;0.05052880894993494
7°C;0.04067725930104348
7.5°C;0.03243001953839083
8°C;0.02567692418039257
8.5°C;0.02023274674503824
9°C;0.015892068276954004
9.5°C;0.01245822437714553
10°C;0.00975650764946355
