;0
0.5°C;6.467827613002831e-05
1°C;0.003552515367643802
1.5°C;0.022904186758837732
2°C;0.05828748809206715
2.5°C;0.09257850446542316
3°C;0.11296380198915035
3.5°C;0.11759381657947093
4°C;0.11065424782465613
4.5°C;0.09740001323682468
5°C;0.08193424438308063
5.5°C;0.06679599443126409
6°C;0.05327378849693439
6.5°C;0.04184289645099744
7°C;0.03251616627407509
7.5°C;0.025085163102701844
8°C;0.019259997680116946
8.5°C;0.014744171016829812
9°C;0.011269797537563409
9.5°C;0.008609943062916372
10°C;0.006579926353270859
