;0
0.5°C;0.0032973190727815446
1°C;0.054345891198528506
1.5°C;0.1474613104303177
2°C;0.19141433853336146
2.5°C;0.177142736677055
3°C;0.13815832386550708
3.5°C;0.09826950652042767
4°C;0.0664138802719137
4.5°C;0.04363638806093869
5°C;0.028250899524313536
5.5°C;0.018171630416077913
6°C;0.011673214094854147
6.5°C;0.007513541392255096
7°C;0.004856036098625197
7.5°C;0.003155630785243984
8°C;0.002063607611148737
8.5°C;0.0013587106771609698
9°C;0.0009009572324573229
9.5°C;0.0006017532513597079
10°C;0.0004048139489538184
