;0
0.5°C;0.09860476458358838
1°C;0.34193707497013687
1.5°C;0.2857982832046698
2°C;0.1513023297288451
2.5°C;0.0688885044771728
3°C;0.02999023870562318
3.5°C;0.013017247985278776
4°C;0.005734402595487867
4.5°C;0.0025831981525511654
5°C;0.0011930380422825247
5.5°C;0.000565401789497565
6°C;0.00027502887311436165
6.5°C;0.00013702654386997222
7°C;6.988570727074113e-05
7.5°C;3.6431875194559535e-05
8°C;1.9369825761018334e-05
8.5°C;1.0570551918865737e-05
9°C;5.557609908517989e-06
9.5°C;3.6845082456178064e-07
10°C;-6.971149176544744e-08
