;0
0.5°C;0.00010681080948154279
1°C;0.005119145340583128
1.5°C;0.029982513953492874
2°C;0.07079275290564514
2.5°C;0.10585074149746249
3°C;0.12283643713099754
3.5°C;0.12251621229184011
4°C;0.11107413440292874
4.5°C;0.09460494315675594
5°C;0.07727111958810522
5.5°C;0.06133532840384322
6°C;0.04774036269317487
6.5°C;0.036664956595956304
7°C;0.02790660079549915
7.5°C;0.02111664989454674
8°C;0.015922316948813322
8.5°C;0.011983667927699457
9°C;0.009014181882888507
9.5°C;0.006783113213246355
10°C;0.005109794787375871
