;0
0.5°C;0.0006630054067413887
1°C;0.018634737989422386
1.5°C;0.07459454394443447
2°C;0.13092840252563615
2.5°C;0.1542421726688252
3°C;0.14687641410264962
3.5°C;0.12379028552315562
4°C;0.09694506240734968
4.5°C;0.07254922147079793
5°C;0.05277322615292315
5.5°C;0.03771871957655027
6°C;0.026677004479086965
6.5°C;0.01875997700960119
7°C;0.013159877760007765
7.5°C;0.009229553255367484
8°C;0.006481913139021989
8.5°C;0.004563533544294307
9°C;0.0032233762983006143
9.5°C;0.002285425016253151
10°C;0.0016271189486866966
