;0
0.5°C;0.026969507419949315
1°C;0.1886417192800315
1.5°C;0.27009499095264927
2°C;0.2146155765517425
2.5°C;0.13450806418454897
3°C;0.07609796551859492
3.5°C;0.04122599612486699
4°C;0.02200271018173676
4.5°C;0.011738092002184829
5°C;0.006306918915943481
5.5°C;0.003427292071045363
6°C;0.001888008245085775
6.5°C;0.0010549504568614443
7°C;0.0005981867537433951
7.5°C;0.0003441403054399509
8°C;0.00020081959187178273
8.5°C;0.00011880711414790589
9°C;7.122385994408699e-05
9.5°C;4.324371727824291e-05
10°C;2.657437790293889e-05
